User Name,User ID,Tweet Date,Time,Tweet Content,Media,Tweet Link
RailwaySeva,945918632642494464,2025-01-07,14:02:20,"@seasubrata We're listening and will do our best to help. The concerned officials are being notified. 
 @Adrarail
we request you to please share the journey details (PNR/UTS No.) and Mobile No. with us so that immediate action can be taken on your complaint. You may also raise your concern… https://t.co/5R7syCeltF https://t.co/utEzIqB89U",False,https://twitter.com/RailwaySeva/status/1876630452871839967
RailwaySeva,945918632642494464,2025-01-07,14:02:11,@dhananjaynews आपकी शिकायत RailMadad पर दर्ज कर ली गई है और शिकायत सं। आपके मोबाइल नंबर पर एसएमएस के माध्यम से भेजा गया है। आप इस लिंक https://t.co/5jRBcou3Uh के माध्यम से अपनी शिकायत को ट्रैक कर सकते हैं,False,https://twitter.com/RailwaySeva/status/1876630414472957979
RailwaySeva,945918632642494464,2025-01-07,14:01:57,"@99jitendram संबंधित अधिकारियों को सूचित किया जा रहा है।  
 @Bhopaldivision",False,https://twitter.com/RailwaySeva/status/1876630356608356696
RailwaySeva,945918632642494464,2025-01-07,14:01:47,@chiragoza7 Your complaint has been registered on RailMadad and complaint no. has been sent through SMS on your mobile no. You may track your complaint via this link https://t.co/5jRBcou3Uh,False,https://twitter.com/RailwaySeva/status/1876630312119349360
RailwaySeva,945918632642494464,2025-01-07,14:01:30,"@TheIndianLion संबंधित अधिकारियों को सूचित किया जा रहा है।  
   @Drm_dli",False,https://twitter.com/RailwaySeva/status/1876630240728076481
RailwaySeva,945918632642494464,2025-01-07,14:00:57,@champ1255125 Kindly visit the following link https://t.co/290SNVrCJb or you may also dial 139 for train enquiry,False,https://twitter.com/RailwaySeva/status/1876630102135771502
RailwaySeva,945918632642494464,2025-01-07,14:00:16,"@Imsumitlal We're listening and will do our best to help. The concerned officials are being notified. 
 @Adrarail
Your complaint has been registered on RailMadad and complaint no. has been sent through SMS on your mobile no. You may track your complaint via this link https://t.co/5jRBcou3Uh",False,https://twitter.com/RailwaySeva/status/1876629932232901058
RailwaySeva,945918632642494464,2025-01-07,14:00:15,@UtkarshVineet We request you to please share the journey details (PNR/UTS No.) and Mobile No. with us preferably via DM so that immediate action can be taken on your complaint. You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876629927157706950
RailwaySeva,945918632642494464,2025-01-07,14:00:13,@Vikrant_kumaarr हम आपसे अनुरोध करते हैं कि कृपया यात्रा विवरण (पीएनआर / यूटीएस नंबर) और मोबाइल नंबर वैकल्पिक रूप से DM के माध्यम से हमारे साथ साझा करें। आप अपनी शिकायत सीधे https://t.co/AmJ5X4ydf8 पर भी शीघ्र निवारण के लिए रजिस्टर कर सकते हैं। https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876629919750558001
RailwaySeva,945918632642494464,2025-01-07,14:00:08,"@UtkarshVineet For necessary action escalated to the concerned official    
 @Drm_kir",False,https://twitter.com/RailwaySeva/status/1876629896400904503
RailwaySeva,945918632642494464,2025-01-07,13:59:01,@pmali1988 Please share details (PNR/UTS No.) and mobile no. preferably via DM. You may also raise your concern directly on https://t.co/AmJ5X4ydf8 for speedy redressal. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876629618071109924
RailwaySeva,945918632642494464,2025-01-07,13:58:57,"@pmali1988 For necessary action escalated to the concerned official   
 @DrmDnr",False,https://twitter.com/RailwaySeva/status/1876629598613750095
RailwaySeva,945918632642494464,2025-01-07,13:58:55,@S24Galaxy142947 we request you to please share the journey details (PNR/UTS No.) and Mobile No. with us so that immediate action can be taken on your complaint. You may also raise your concern directly on  https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876629592603345263
RailwaySeva,945918632642494464,2025-01-07,13:58:37,"@Rajnees53776968 For necessary action escalated to the concerned official   
 @Drm_drmizn @Drmbsbner",False,https://twitter.com/RailwaySeva/status/1876629518368325677
RailwaySeva,945918632642494464,2025-01-07,13:58:03,"@manchanda_sanju For necessary action escalated to the concerned official
 @Drm_dli
We request you to please share the journey details (PNR/UTS No.) and Mobile No. with us preferably via DM so that immediate action can be taken on your complaint. You may also raise your concern directly on… https://t.co/DX9XDg8nal https://t.co/utEzIqB89U",False,https://twitter.com/RailwaySeva/status/1876629375925588042
RailwaySeva,945918632642494464,2025-01-07,13:57:55,@duha20097 We are still waiting for details Mobile no and Pnr no. so that we register your complaint and expedite resolution. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876629338713678061
RailwaySeva,945918632642494464,2025-01-07,13:57:53,@pranamya_parash Your complaint has been registered on RailMadad and complaint no. has been sent through SMS on your mobile no. You may track your complaint via this link https://t.co/5jRBcou3Uh,False,https://twitter.com/RailwaySeva/status/1876629331910459843
RailwaySeva,945918632642494464,2025-01-07,13:56:34,@govindlall Your complaint has been registered on RailMadad and complaint no. has been sent through SMS on your mobile no. You may track your complaint via this link https://t.co/5jRBcou3Uh https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876629001630007668
RailwaySeva,945918632642494464,2025-01-07,13:56:22,"@Sudipta_Chall @SohamKar12 For necessary action escalated to the concerned official   
 @Drmhowrah",False,https://twitter.com/RailwaySeva/status/1876628949494898814
RailwaySeva,945918632642494464,2025-01-07,13:56:09,@Sudipta_Chall @SohamKar12 Your complaint has been registered on RailMadad and complaint no. has been sent through SMS on your mobile no. You may track your complaint via this link https://t.co/5jRBcou3Uh,False,https://twitter.com/RailwaySeva/status/1876628895761666152
RailwaySeva,945918632642494464,2025-01-07,13:54:45,"@Kum68697Kumar संबंधित अधिकारियों को सूचित किया जा रहा है।
 @drm_sonpur",False,https://twitter.com/RailwaySeva/status/1876628542886498596
RailwaySeva,945918632642494464,2025-01-07,13:38:48,@khageswarnayak1 Please share your Mobile no. preferably via DM to enable us to take immediate action. You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876624530090951148
RailwaySeva,945918632642494464,2025-01-07,13:38:42,"@khageswarnayak1 For necessary action escalated to the concerned official   
 @Drmubl",False,https://twitter.com/RailwaySeva/status/1876624504618930326
RailwaySeva,945918632642494464,2025-01-07,13:38:12,@Imsumitlal we request you to please share the journey details (PNR/UTS No.) and Mobile No. with us so that immediate action can be taken on your complaint. You may also raise your concern directly on  https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876624379569909946
RailwaySeva,945918632642494464,2025-01-07,13:37:43,"@shailav_sinha For necessary action escalated to the concerned official    
 @drm_sonpur https://t.co/utEzIqB89U",False,https://twitter.com/RailwaySeva/status/1876624256098033748
RailwaySeva,945918632642494464,2025-01-07,13:37:36,"@llrhknp @toi @TOIDelhi @TOIEditor @TOILucknow @Dm_Aligarh @AligarhKhabar @AMUofficialPRO @AU_AligarhNews @rangealigarh @bsa_aligarh72 Please share your mobile no. preferably via DM to enable us to take immediate action.  You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal.
Kindly look into this matter  @rpfncr https://t.co/utEzIqB89U",False,https://twitter.com/RailwaySeva/status/1876624227333554543
RailwaySeva,945918632642494464,2025-01-07,13:37:26,@shailav_sinha Please share your PNR/UTS number and mobile no. preferably via DM to enable us to take immediate action. You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876624185746923648
RailwaySeva,945918632642494464,2025-01-07,13:35:51,@Balvind31242932 Kindly look into this matter  @RpfNwr,False,https://twitter.com/RailwaySeva/status/1876623785228681701
RailwaySeva,945918632642494464,2025-01-07,13:34:59,"@KhetmalisVishal For necessary action escalated to the concerned official   
 @Drmsbc @Drmpune",False,https://twitter.com/RailwaySeva/status/1876623570941657555
RailwaySeva,945918632642494464,2025-01-07,13:34:44,"@Karande56621558 @Central_Railway @rpfserckp @OCRPFTATANAGAR संबंधित अधिकारियों को सूचित किया जा रहा है।  
 @Ckpdrm",False,https://twitter.com/RailwaySeva/status/1876623504747249911
RailwaySeva,945918632642494464,2025-01-07,13:34:15,@ssubhash24 Please share your PNR/Train no. preferably via DM to enable us to take immediate action.  You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876623385465409591
RailwaySeva,945918632642494464,2025-01-07,13:34:02,@ManavSevaSangh We are still waiting for Mobile Number so that we register your complaint and expedite resolution.,False,https://twitter.com/RailwaySeva/status/1876623331551789370
